word,Tag,sentence_num
Andes,B-mount,42
are,O,42
popular,O,42
destinations.,O,42
The,O,43
peaks,O,43
of,O,43
Mont,B-mount,43
Blanc,I-mount,43
are,O,43
covered,O,43
in,O,43
snow.,O,43
The,O,44
Rockies,B-mount,44
and,O,44
Mount,O,44
Fuji,B-mount,44
are,O,44
popular,O,44
destinations.,O,44
He,O,45
packed,O,45
his,O,45
bag,O,45
and,O,45
set,O,45
off,O,45
on,O,45
an,O,45
adventure.,O,45
The,O,46
river,O,46
flows,O,46
through,O,46
the,O,46
valley.,O,46
I,O,47
have,O,47
visited,O,47
Mount,O,47
Aconcagua,B-mount,47
recently.,O,47
I,O,48
have,O,48
visited,O,48
Mount,O,48
Whitney,B-mount,48
recently.,O,48
I,O,49
have,O,49
visited,O,49
Mount,O,49
Aconcagua,B-mount,49
recently.,O,49
The,O,50
Alps,B-mount,50
is,O,50
known,O,50
for,O,50
its,O,50
beauty.,O,50
People,O,51
often,O,51
climb,O,51
Mount,O,51
Kilimanjaro,B-mount,51
during,O,51
the,O,51
summer.,O,51
Mount,O,52
Logan,B-mount,52
and,O,52
Mount,O,52
Olympus,B-mount,52
are,O,52
popular,O,52
destinations.,O,52
This,O,53
area,O,53
is,O,53
famous,O,53
for,O,53
its,O,53
wildlife.,O,53
People,O,54
often,O,54
climb,O,54
The,O,54
Rockies,B-mount,54
during,O,54
the,O,54
summer.,O,54
The,O,55
forest,O,55
is,O,55
dense,O,55
and,O,55
full,O,55
of,O,55
life.,O,55
We,O,56
went,O,56
stargazing,O,56
last,O,56
night.,O,56
The,O,57
view,O,57
from,O,57
here,O,57
is,O,57
breathtaking.,O,57
Mount,O,58
Everest,B-mount,58
and,O,58
Matterhorn,B-mount,58
are,O,58
popular,O,58
destinations.,O,58
I,O,59
have,O,59
visited,O,59
K2,B-mount,59
recently.,O,59
He,O,60
packed,O,60
his,O,60
bag,O,60
and,O,60
set,O,60
off,O,60
on,O,60
an,O,60
adventure.,O,60
The,O,61
peaks,O,61
of,O,61
Matterhorn,B-mount,61
are,O,61
covered,O,61
in,O,61
snow.,O,61
People,O,62
often,O,62
climb,O,62
Mount,O,62
Elbrus,B-mount,62
during,O,62
the,O,62
summer.,O,62
The,O,63
view,O,63
from,O,63
here,O,63
is,O,63
breathtaking.,O,63
People,O,64
often,O,64
climb,O,64
Mount,O,64
Fuji,B-mount,64
during,O,64
the,O,64
summer.,O,64
I,O,65
have,O,65
visited,O,65
Denali,B-mount,65
recently.,O,65
She,O,66
enjoys,O,66
camping,O,66
in,O,66
remote,O,66
areas.,O,66
The,O,67
peaks,O,67
of,O,67
Mount,O,67
Kilimanjaro,B-mount,67
are,O,67
covered,O,67
in,O,67
snow.,O,67
I,O,68
love,O,68
hiking,O,68
in,O,68
the,O,68
countryside.,O,68
She,O,69
enjoys,O,69
camping,O,69
in,O,69
remote,O,69
areas.,O,69
He,O,70
packed,O,70
his,O,70
bag,O,70
and,O,70
set,O,70
off,O,70
on,O,70
an,O,70
adventure.,O,70
The,O,71
peaks,O,71
of,O,71
Mount,O,71
Logan,B-mount,71
are,O,71
covered,O,71
in,O,71
snow.,O,71
K2,B-mount,72
and,O,72
K2,B-mount,72
are,O,72
popular,O,72
destinations.,O,72
Mount,O,73
Olympus,B-mount,73
and,O,73
The,O,73
Rockies,B-mount,73
are,O,73
popular,O,73
destinations.,O,73
K2,B-mount,74
is,O,74
known,O,74
for,O,74
its,O,74
beauty.,O,74
Mont,B-mount,75
Blanc,I-mount,75
and,O,75
Mount,O,75
Fuji,B-mount,75
are,O,75
popular,O,75
destinations.,O,75
The,O,76
river,O,76
flows,O,76
through,O,76
the,O,76
valley.,O,76
She,O,77
enjoys,O,77
camping,O,77
in,O,77
remote,O,77
areas.,O,77
Mount,O,78
Kilimanjaro,B-mount,78
is,O,78
known,O,78
for,O,78
its,O,78
beauty.,O,78
Mount,O,79
McKinley,B-mount,79
and,O,79
Mount,O,79
Whitney,B-mount,79
are,O,79
popular,O,79
destinations.,O,79
I,O,80
have,O,80
visited,O,80
Mont,B-mount,80
Blanc,I-mount,80
recently.,O,80
People,O,81
often,O,81
climb,O,81
Mount,O,81
Fuji,B-mount,81
during,O,81
the,O,81
summer.,O,81
People,O,82
often,O,82
climb,O,82
Mount,O,82
Whitney,B-mount,82
during,O,82
the,O,82
summer.,O,82
The,O,83
peaks,O,83
of,O,83
Mount,O,83
Fuji,B-mount,83
are,O,83
covered,O,83
in,O,83
snow.,O,83
He,O,84
packed,O,84
his,O,84
bag,O,84
and,O,84
set,O,84
off,O,84
on,O,84
an,O,84
adventure.,O,84
The,O,85
peaks,O,85
of,O,85
Mount,O,85
Olympus,B-mount,85
are,O,85
covered,O,85
in,O,85
snow.,O,85
The,O,86
peaks,O,86
of,O,86
Mount,O,86
Elbrus,B-mount,86
are,O,86
covered,O,86
in,O,86
snow.,O,86
The,O,87
Alps,B-mount,87
is,O,87
known,O,87
for,O,87
its,O,87
beauty.,O,87
Matterhorn,B-mount,88
is,O,88
known,O,88
for,O,88
its,O,88
beauty.,O,88
She,O,89
enjoys,O,89
camping,O,89
in,O,89
remote,O,89
areas.,O,89
The,O,90
peaks,O,90
of,O,90
Mount,O,90
Fuji,B-mount,90
are,O,90
covered,O,90
in,O,90
snow.,O,90
People,O,91
often,O,91
climb,O,91
Mount,O,91
Everest,B-mount,91
during,O,91
the,O,91
summer.,O,91
People,O,92
often,O,92
climb,O,92
The,O,92
Andes,B-mount,92
during,O,92
the,O,92
summer.,O,92
The,O,93
peaks,O,93
of,O,93
Mount,O,93
Fuji,B-mount,93
are,O,93
covered,O,93
in,O,93
snow.,O,93
Mount,O,94
Aconcagua,B-mount,94
is,O,94
known,O,94
for,O,94
its,O,94
beauty.,O,94
He,O,95
packed,O,95
his,O,95
bag,O,95
and,O,95
set,O,95
off,O,95
on,O,95
an,O,95
adventure.,O,95
The,O,96
sun,O,96
sets,O,96
behind,O,96
the,O,96
hills,O,96
every,O,96
evening.,O,96
People,O,97
often,O,97
climb,O,97
Mount,O,97
Whitney,B-mount,97
during,O,97
the,O,97
summer.,O,97
The,O,98
peaks,O,98
of,O,98
Mount,O,98
Elbrus,B-mount,98
are,O,98
covered,O,98
in,O,98
snow.,O,98
K2,B-mount,99
and,O,99
Mount,O,99
Elbrus,B-mount,99
are,O,99
popular,O,99
destinations.,O,99
The,O,100
view,O,100
from,O,100
here,O,100
is,O,100
breathtaking.,O,100
The,O,101
forest,O,101
is,O,101
dense,O,101
and,O,101
full,O,101
of,O,101
life.,O,101
Mount,O,102
Logan,B-mount,102
is,O,102
known,O,102
for,O,102
its,O,102
beauty.,O,102
This,O,103
area,O,103
is,O,103
famous,O,103
for,O,103
its,O,103
wildlife.,O,103
The,O,104
Alps,B-mount,104
is,O,104
known,O,104
for,O,104
its,O,104
beauty.,O,104
People,O,105
often,O,105
climb,O,105
Matterhorn,B-mount,105
during,O,105
the,O,105
summer.,O,105
People,O,106
often,O,106
climb,O,106
Mount,O,106
Olympus,B-mount,106
during,O,106
the,O,106
summer.,O,106
The,O,107
peaks,O,107
of,O,107
Denali,B-mount,107
are,O,107
covered,O,107
in,O,107
snow.,O,107
The,O,108
river,O,108
flows,O,108
through,O,108
the,O,108
valley.,O,108
I,O,109
have,O,109
visited,O,109
Denali,B-mount,109
recently.,O,109
I,O,110
have,O,110
visited,O,110
Mount,O,110
Kilimanjaro,B-mount,110
recently.,O,110
The,O,111
Rockies,B-mount,111
and,O,111
Denali,B-mount,111
are,O,111
popular,O,111
destinations.,O,111
The,O,112
forest,O,112
is,O,112
dense,O,112
and,O,112
full,O,112
of,O,112
life.,O,112
Mount,O,113
Logan,B-mount,113
and,O,113
Mount,O,113
Aconcagua,B-mount,113
are,O,113
popular,O,113
destinations.,O,113
Mount,O,114
Aconcagua,B-mount,114
and,O,114
Mount,O,114
Elbrus,B-mount,114
are,O,114
popular,O,114
destinations.,O,114
The,O,115
forest,O,115
is,O,115
dense,O,115
and,O,115
full,O,115
of,O,115
life.,O,115
She,O,116
enjoys,O,116
camping,O,116
in,O,116
remote,O,116
areas.,O,116
Mount,O,117
McKinley,B-mount,117
and,O,117
Mount,O,117
Aconcagua,B-mount,117
are,O,117
popular,O,117
destinations.,O,117
The,O,118
peaks,O,118
of,O,118
Mount,O,118
Elbrus,B-mount,118
are,O,118
covered,O,118
in,O,118
snow.,O,118
The,O,119
peaks,O,119
of,O,119
Mount,O,119
Olympus,B-mount,119
are,O,119
covered,O,119
in,O,119
snow.,O,119
I,O,120
have,O,120
visited,O,120
The,O,120
Andes,B-mount,120
recently.,O,120
The,O,121
sun,O,121
sets,O,121
behind,O,121
the,O,121
hills,O,121
every,O,121
evening.,O,121
Mount,O,122
Olympus,B-mount,122
is,O,122
known,O,122
for,O,122
its,O,122
beauty.,O,122
The,O,123
peaks,O,123
of,O,123
Mount,O,123
Fuji,B-mount,123
are,O,123
covered,O,123
in,O,123
snow.,O,123
Mount,O,124
Whitney,B-mount,124
is,O,124
known,O,124
for,O,124
its,O,124
beauty.,O,124
She,O,125
enjoys,O,125
camping,O,125
in,O,125
remote,O,125
areas.,O,125
This,O,126
area,O,126
is,O,126
famous,O,126
for,O,126
its,O,126
wildlife.,O,126
I,O,127
have,O,127
visited,O,127
Mount,O,127
Logan,B-mount,127
recently.,O,127
I,O,128
love,O,128
hiking,O,128
in,O,128
the,O,128
countryside.,O,128
We,O,129
went,O,129
stargazing,O,129
last,O,129
night.,O,129
I,O,130
have,O,130
visited,O,130
Mount,O,130
Kilimanjaro,B-mount,130
recently.,O,130
I,O,131
have,O,131
visited,O,131
Mount,O,131
Olympus,B-mount,131
recently.,O,131
The,O,132
weather,O,132
is,O,132
beautiful,O,132
today.,O,132
Mount,O,133
Aconcagua,B-mount,133
and,O,133
Mount,O,133
Kilimanjaro,B-mount,133
are,O,133
popular,O,133
destinations.,O,133
Mount,O,134
Whitney,B-mount,134
is,O,134
known,O,134
for,O,134
its,O,134
beauty.,O,134
I,O,135
have,O,135
visited,O,135
The,O,135
Himalayas,B-mount,135
recently.,O,135
People,O,136
often,O,136
climb,O,136
Mount,O,136
Olympus,B-mount,136
during,O,136
the,O,136
summer.,O,136
Denali,B-mount,137
and,O,137
The,O,137
Andes,B-mount,137
are,O,137
popular,O,137
destinations.,O,137
The,O,138
Rockies,B-mount,138
and,O,138
Mount,O,138
Kosciuszko,B-mount,138
are,O,138
popular,O,138
destinations.,O,138
The,O,139
peaks,O,139
of,O,139
Mount,O,139
Olympus,B-mount,139
are,O,139
covered,O,139
in,O,139
snow.,O,139
I,O,140
love,O,140
hiking,O,140
in,O,140
the,O,140
countryside.,O,140
I,O,141
love,O,141
hiking,O,141
in,O,141
the,O,141
countryside.,O,141
I,O,142
have,O,142
visited,O,142
The,O,142
Andes,B-mount,142
recently.,O,142
Mount,O,143
Whitney,B-mount,143
is,O,143
known,O,143
for,O,143
its,O,143
beauty.,O,143
The,O,144
weather,O,144
is,O,144
beautiful,O,144
today.,O,144
The,O,145
weather,O,145
is,O,145
beautiful,O,145
today.,O,145
Mount,O,146
Kosciuszko,B-mount,146
and,O,146
K2,B-mount,146
are,O,146
popular,O,146
destinations.,O,146
The,O,147
forest,O,147
is,O,147
dense,O,147
and,O,147
full,O,147
of,O,147
life.,O,147
The,O,148
peaks,O,148
of,O,148
Mont,B-mount,148
Blanc,I-mount,148
are,O,148
covered,O,148
in,O,148
snow.,O,148
Denali,B-mount,149
is,O,149
known,O,149
for,O,149
its,O,149
beauty.,O,149
This,O,150
area,O,150
is,O,150
famous,O,150
for,O,150
its,O,150
wildlife.,O,150
People,O,151
often,O,151
climb,O,151
Mount,O,151
McKinley,B-mount,151
during,O,151
the,O,151
summer.,O,151
People,O,152
often,O,152
climb,O,152
Mount,O,152
Logan,B-mount,152
during,O,152
the,O,152
summer.,O,152
People,O,153
often,O,153
climb,O,153
Mont,B-mount,153
Blanc,I-mount,153
during,O,153
the,O,153
summer.,O,153
Mont,B-mount,154
Blanc,I-mount,154
and,O,154
Mount,O,154
Logan,B-mount,154
are,O,154
popular,O,154
destinations.,O,154
Denali,B-mount,155
is,O,155
known,O,155
for,O,155
its,O,155
beauty.,O,155
I,O,156
have,O,156
visited,O,156
Mount,O,156
McKinley,B-mount,156
recently.,O,156
This,O,157
area,O,157
is,O,157
famous,O,157
for,O,157
its,O,157
wildlife.,O,157
Mount,O,158
Kosciuszko,B-mount,158
and,O,158
Mont,B-mount,158
Blanc,I-mount,158
are,O,158
popular,O,158
destinations.,O,158
People,O,159
often,O,159
climb,O,159
Mount,O,159
Whitney,B-mount,159
during,O,159
the,O,159
summer.,O,159
People,O,160
often,O,160
climb,O,160
Mount,O,160
Olympus,B-mount,160
during,O,160
the,O,160
summer.,O,160
I,O,161
have,O,161
visited,O,161
The,O,161
Alps,B-mount,161
recently.,O,161
I,O,162
love,O,162
hiking,O,162
in,O,162
the,O,162
countryside.,O,162
The,O,163
view,O,163
from,O,163
here,O,163
is,O,163
breathtaking.,O,163
People,O,164
often,O,164
climb,O,164
Mount,O,164
Kosciuszko,B-mount,164
during,O,164
the,O,164
summer.,O,164
The,O,165
river,O,165
flows,O,165
through,O,165
the,O,165
valley.,O,165
The,O,166
peaks,O,166
of,O,166
The,O,166
Himalayas,B-mount,166
are,O,166
covered,O,166
in,O,166
snow.,O,166
She,O,167
enjoys,O,167
camping,O,167
in,O,167
remote,O,167
areas.,O,167
He,O,168
packed,O,168
his,O,168
bag,O,168
and,O,168
set,O,168
off,O,168
on,O,168
an,O,168
adventure.,O,168
She,O,169
enjoys,O,169
camping,O,169
in,O,169
remote,O,169
areas.,O,169
I,O,170
have,O,170
visited,O,170
Mount,O,170
McKinley,B-mount,170
recently.,O,170
People,O,171
often,O,171
climb,O,171
Mount,O,171
Logan,B-mount,171
during,O,171
the,O,171
summer.,O,171
The,O,172
weather,O,172
is,O,172
beautiful,O,172
today.,O,172
The,O,173
view,O,173
from,O,173
here,O,173
is,O,173
breathtaking.,O,173
The,O,174
weather,O,174
is,O,174
beautiful,O,174
today.,O,174
Mount,O,175
Olympus,B-mount,175
is,O,175
known,O,175
for,O,175
its,O,175
beauty.,O,175
I,O,176
have,O,176
visited,O,176
The,O,176
Himalayas,B-mount,176
recently.,O,176
The,O,177
peaks,O,177
of,O,177
Denali,B-mount,177
are,O,177
covered,O,177
in,O,177
snow.,O,177
Mount,O,178
Whitney,B-mount,178
and,O,178
Mount,O,178
Kilimanjaro,B-mount,178
are,O,178
popular,O,178
destinations.,O,178
I,O,179
have,O,179
visited,O,179
Mount,O,179
Olympus,B-mount,179
recently.,O,179
Mount,O,180
Kilimanjaro,B-mount,180
is,O,180
known,O,180
for,O,180
its,O,180
beauty.,O,180
We,O,181
went,O,181
stargazing,O,181
last,O,181
night.,O,181
I,O,182
have,O,182
visited,O,182
Mount,O,182
Kosciuszko,B-mount,182
recently.,O,182
Mount,O,183
Whitney,B-mount,183
and,O,183
Mount,O,183
Logan,B-mount,183
are,O,183
popular,O,183
destinations.,O,183
The,O,184
peaks,O,184
of,O,184
Denali,B-mount,184
are,O,184
covered,O,184
in,O,184
snow.,O,184
Mount,O,185
Kosciuszko,B-mount,185
and,O,185
Mount,O,185
Whitney,B-mount,185
are,O,185
popular,O,185
destinations.,O,185
The,O,186
sun,O,186
sets,O,186
behind,O,186
the,O,186
hills,O,186
every,O,186
evening.,O,186
The,O,187
peaks,O,187
of,O,187
K2,B-mount,187
are,O,187
covered,O,187
in,O,187
snow.,O,187
The,O,188
peaks,O,188
of,O,188
Mount,O,188
Kosciuszko,B-mount,188
are,O,188
covered,O,188
in,O,188
snow.,O,188
People,O,189
often,O,189
climb,O,189
Denali,B-mount,189
during,O,189
the,O,189
summer.,O,189
Mount,O,190
Aconcagua,B-mount,190
and,O,190
Mount,O,190
Kilimanjaro,B-mount,190
are,O,190
popular,O,190
destinations.,O,190
The,O,191
peaks,O,191
of,O,191
Mount,O,191
Logan,B-mount,191
are,O,191
covered,O,191
in,O,191
snow.,O,191
The,O,192
peaks,O,192
of,O,192
Mount,O,192
Kosciuszko,B-mount,192
are,O,192
covered,O,192
in,O,192
snow.,O,192
The,O,193
peaks,O,193
of,O,193
Mount,O,193
Aconcagua,B-mount,193
are,O,193
covered,O,193
in,O,193
snow.,O,193
Mount,O,194
Olympus,B-mount,194
is,O,194
known,O,194
for,O,194
its,O,194
beauty.,O,194
The,O,195
peaks,O,195
of,O,195
Mount,O,195
Aconcagua,B-mount,195
are,O,195
covered,O,195
in,O,195
snow.,O,195
People,O,196
often,O,196
climb,O,196
Mount,O,196
Everest,B-mount,196
during,O,196
the,O,196
summer.,O,196
People,O,197
often,O,197
climb,O,197
Mount,O,197
Fuji,B-mount,197
during,O,197
the,O,197
summer.,O,197
Mount,O,198
Kilimanjaro,B-mount,198
is,O,198
known,O,198
for,O,198
its,O,198
beauty.,O,198
Annapurna,B-mount,199
is,O,199
known,O,199
for,O,199
its,O,199
beauty.,O,199
People,O,200
often,O,200
climb,O,200
Mount,O,200
Elbrus,B-mount,200
during,O,200
the,O,200
summer.,O,200
Mount,O,201
Elbrus,B-mount,201
and,O,201
Annapurna,B-mount,201
are,O,201
popular,O,201
destinations.,O,201
People,O,202
often,O,202
climb,O,202
The,O,202
Himalayas,B-mount,202
during,O,202
the,O,202
summer.,O,202
This,O,203
area,O,203
is,O,203
famous,O,203
for,O,203
its,O,203
wildlife.,O,203
I,O,204
have,O,204
visited,O,204
Mount,O,204
Everest,B-mount,204
recently.,O,204
Mount,O,205
Everest,B-mount,205
and,O,205
Mount,O,205
Logan,B-mount,205
are,O,205
popular,O,205
destinations.,O,205
This,O,206
area,O,206
is,O,206
famous,O,206
for,O,206
its,O,206
wildlife.,O,206
People,O,207
often,O,207
climb,O,207
Mont,B-mount,207
Blanc,I-mount,207
during,O,207
the,O,207
summer.,O,207
We,O,208
went,O,208
stargazing,O,208
last,O,208
night.,O,208
This,O,209
area,O,209
is,O,209
famous,O,209
for,O,209
its,O,209
wildlife.,O,209
I,O,210
have,O,210
visited,O,210
Denali,B-mount,210
recently.,O,210
The,O,211
river,O,211
flows,O,211
through,O,211
the,O,211
valley.,O,211
He,O,212
packed,O,212
his,O,212
bag,O,212
and,O,212
set,O,212
off,O,212
on,O,212
an,O,212
adventure.,O,212
I,O,213
have,O,213
visited,O,213
Mount,O,213
Everest,B-mount,213
recently.,O,213
I,O,214
have,O,214
visited,O,214
K2,B-mount,214
recently.,O,214
Mount,O,215
McKinley,B-mount,215
and,O,215
Mont,B-mount,215
Blanc,I-mount,215
are,O,215
popular,O,215
destinations.,O,215
People,O,216
often,O,216
climb,O,216
Matterhorn,B-mount,216
during,O,216
the,O,216
summer.,O,216
This,O,217
area,O,217
is,O,217
famous,O,217
for,O,217
its,O,217
wildlife.,O,217
People,O,218
often,O,218
climb,O,218
Annapurna,B-mount,218
during,O,218
the,O,218
summer.,O,218
I,O,219
have,O,219
visited,O,219
The,O,219
Alps,B-mount,219
recently.,O,219
She,O,220
enjoys,O,220
camping,O,220
in,O,220
remote,O,220
areas.,O,220
The,O,221
peaks,O,221
of,O,221
Mount,O,221
Olympus,B-mount,221
are,O,221
covered,O,221
in,O,221
snow.,O,221
People,O,222
often,O,222
climb,O,222
Mont,B-mount,222
Blanc,I-mount,222
during,O,222
the,O,222
summer.,O,222
The,O,223
peaks,O,223
of,O,223
Annapurna,B-mount,223
are,O,223
covered,O,223
in,O,223
snow.,O,223
This,O,224
area,O,224
is,O,224
famous,O,224
for,O,224
its,O,224
wildlife.,O,224
People,O,225
often,O,225
climb,O,225
Mount,O,225
Elbrus,B-mount,225
during,O,225
the,O,225
summer.,O,225
I,O,226
have,O,226
visited,O,226
Mount,O,226
McKinley,B-mount,226
recently.,O,226
The,O,227
peaks,O,227
of,O,227
Mount,O,227
Kilimanjaro,B-mount,227
are,O,227
covered,O,227
in,O,227
snow.,O,227
Mount,O,228
McKinley,B-mount,228
is,O,228
known,O,228
for,O,228
its,O,228
beauty.,O,228
The,O,229
river,O,229
flows,O,229
through,O,229
the,O,229
valley.,O,229
K2,B-mount,230
and,O,230
Mount,O,230
Aconcagua,B-mount,230
are,O,230
popular,O,230
destinations.,O,230
The,O,231
peaks,O,231
of,O,231
Mount,O,231
Aconcagua,B-mount,231
are,O,231
covered,O,231
in,O,231
snow.,O,231
Mount,O,232
Logan,B-mount,232
and,O,232
Matterhorn,B-mount,232
are,O,232
popular,O,232
destinations.,O,232
The,O,233
peaks,O,233
of,O,233
Mount,O,233
Elbrus,B-mount,233
are,O,233
covered,O,233
in,O,233
snow.,O,233
I,O,234
love,O,234
hiking,O,234
in,O,234
the,O,234
countryside.,O,234
The,O,235
peaks,O,235
of,O,235
The,O,235
Alps,B-mount,235
are,O,235
covered,O,235
in,O,235
snow.,O,235
Mount,O,236
Kilimanjaro,B-mount,236
and,O,236
Mount,O,236
Fuji,B-mount,236
are,O,236
popular,O,236
destinations.,O,236
The,O,237
forest,O,237
is,O,237
dense,O,237
and,O,237
full,O,237
of,O,237
life.,O,237
The,O,238
weather,O,238
is,O,238
beautiful,O,238
today.,O,238
The,O,239
Himalayas,B-mount,239
is,O,239
known,O,239
for,O,239
its,O,239
beauty.,O,239
The,O,240
Himalayas,B-mount,240
and,O,240
K2,B-mount,240
are,O,240
popular,O,240
destinations.,O,240
The,O,241
Alps,B-mount,241
is,O,241
known,O,241
for,O,241
its,O,241
beauty.,O,241
I,O,242
have,O,242
visited,O,242
Matterhorn,B-mount,242
recently.,O,242
I,O,243
have,O,243
visited,O,243
Mount,O,243
Everest,B-mount,243
recently.,O,243
The,O,244
peaks,O,244
of,O,244
Mount,O,244
Elbrus,B-mount,244
are,O,244
covered,O,244
in,O,244
snow.,O,244
The,O,245
forest,O,245
is,O,245
dense,O,245
and,O,245
full,O,245
of,O,245
life.,O,245
The,O,246
Rockies,B-mount,246
and,O,246
Annapurna,B-mount,246
are,O,246
popular,O,246
destinations.,O,246
People,O,247
often,O,247
climb,O,247
Mount,O,247
Everest,B-mount,247
during,O,247
the,O,247
summer.,O,247
Mount,O,248
Logan,B-mount,248
is,O,248
known,O,248
for,O,248
its,O,248
beauty.,O,248
The,O,249
peaks,O,249
of,O,249
Mount,O,249
Everest,B-mount,249
are,O,249
covered,O,249
in,O,249
snow.,O,249
People,O,250
often,O,250
climb,O,250
Mount,O,250
Kilimanjaro,B-mount,250
during,O,250
the,O,250
summer.,O,250
People,O,251
often,O,251
climb,O,251
The,O,251
Rockies,B-mount,251
during,O,251
the,O,251
summer.,O,251
The,O,252
peaks,O,252
of,O,252
Mont,B-mount,252
Blanc,I-mount,252
are,O,252
covered,O,252
in,O,252
snow.,O,252
Mount,O,253
Kosciuszko,B-mount,253
and,O,253
The,O,253
Rockies,B-mount,253
are,O,253
popular,O,253
destinations.,O,253
Mont,B-mount,254
Blanc,I-mount,254
and,O,254
Denali,B-mount,254
are,O,254
popular,O,254
destinations.,O,254
Mount,O,255
Elbrus,B-mount,255
is,O,255
known,O,255
for,O,255
its,O,255
beauty.,O,255
He,O,256
packed,O,256
his,O,256
bag,O,256
and,O,256
set,O,256
off,O,256
on,O,256
an,O,256
adventure.,O,256
The,O,257
peaks,O,257
of,O,257
Annapurna,B-mount,257
are,O,257
covered,O,257
in,O,257
snow.,O,257
She,O,258
enjoys,O,258
camping,O,258
in,O,258
remote,O,258
areas.,O,258
The,O,259
Alps,B-mount,259
and,O,259
Annapurna,B-mount,259
are,O,259
popular,O,259
destinations.,O,259
Mount,O,260
Whitney,B-mount,260
is,O,260
